"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0033554"	145	104	12	3.54	0.00061	0.055	"cellular response to stress"	"biological_process"	" 3"	"PF01974,PF07859,PF04952,PF06699,PF10191,PF15454,PF00884,PF01553,PF01612,PF08241,PF00106,PF07819"
"GO:0051188"	230	104	16	3.35	0.00084	0.055	"cofactor biosynthetic process"	"biological_process"	" 4"	"PF06087,PF00343,PF00370,PF02782,PF02806,PF00512,PF02922,PF00620,PF05970,PF00707,PF15469,PF15454,PF05198,PF00128,PF00141,PF05496"
"GO:0051716"	260	104	17	3.18	0.0013	0.055	"cellular response to stimulus"	"biological_process"	" 2"	"PF00160,PF01974,PF07859,PF04952,PF08689,PF01293,PF06699,PF10191,PF15454,PF00884,PF01553,PF01612,PF07544,PF08241,PF00106,PF07819,PF05496"
"GO:0006281"	88	104	8	3.17	0.0018	0.055	"DNA repair"	"biological_process"	" 6"	"PF01974,PF07859,PF04952,PF06699,PF00884,PF01553,PF08241,PF00106"
"GO:0006974"	92	104	8	3.03	0.0024	0.055	"response to DNA damage stimulus"	"biological_process"	" 5"	"PF01974,PF07859,PF04952,PF06699,PF00884,PF01553,PF08241,PF00106"
"GO:0042592"	31	104	4	3.08	0.0027	0.055	"homeostatic process"	"biological_process"	" 3"	"PF06325,PF10341,PF05185,PF01729"
"GO:0051186"	258	104	16	2.84	0.003	0.055	"cofactor metabolic process"	"biological_process"	" 3"	"PF06087,PF00343,PF00370,PF02782,PF02806,PF00512,PF02922,PF00620,PF05970,PF00707,PF15469,PF15454,PF05198,PF00128,PF00141,PF05496"
"GO:0006298"	62	104	6	2.92	0.0033	0.055	"mismatch repair"	"biological_process"	" 8"	"PF07859,PF04952,PF00884,PF01553,PF08241,PF00106"
"GO:0006790"	156	104	11	2.79	0.0037	0.055	"sulfur compound metabolic process"	"biological_process"	" 3"	"PF06087,PF00343,PF00370,PF02782,PF02806,PF02922,PF05970,PF15454,PF00128,PF05496,PF04856"
"GO:0009108"	206	104	13	2.61	0.0054	0.07	"coenzyme biosynthetic process"	"biological_process"	" 5"	"PF06087,PF00343,PF00370,PF02782,PF02806,PF00512,PF02922,PF00620,PF05970,PF00707,PF05198,PF00128,PF05496"
"GO:0006950"	186	104	12	2.58	0.0058	0.07	"response to stress"	"biological_process"	" 2"	"PF01974,PF07859,PF04952,PF06699,PF10191,PF15454,PF00884,PF01553,PF01612,PF08241,PF00106,PF07819"
"GO:0044272"	148	104	10	2.51	0.0071	0.077	"sulfur compound biosynthetic process"	"biological_process"	" 4"	"PF06087,PF00343,PF00370,PF02782,PF02806,PF02922,PF05970,PF15454,PF00128,PF05496"
