"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0032774"	19	105	5	5.7	1.9e-05	0.0016	"RNA biosynthetic process"	"biological_process"	" 5"	"PF02744,PF01087,PF01078,PF06437,PF05014"
"GO:0006298"	62	105	9	5.06	2.2e-05	0.0016	"mismatch repair"	"biological_process"	" 8"	"PF00171,PF00245,PF07859,PF00266,PF00501,PF00884,PF01513,PF08241,PF04828"
"GO:0006811"	156	105	13	3.68	4e-04	0.013	"ion transport"	"biological_process"	" 5"	"PF00155,PF00324,PF00344,PF04120,PF00654,PF00860,PF10186,PF01467,PF00975,PF12658,PF07690,PF01761,PF00083"
"GO:0006351"	12	105	3	4.26	0.00042	0.013	"transcription, DNA-dependent"	"biological_process"	" 5"	"PF01078,PF06437,PF05014"
"GO:0006281"	88	105	9	3.75	0.00045	0.013	"DNA repair"	"biological_process"	" 6"	"PF00171,PF00245,PF07859,PF00266,PF00501,PF00884,PF01513,PF08241,PF04828"
"GO:0006974"	92	105	9	3.6	0.00065	0.015	"response to DNA damage stimulus"	"biological_process"	" 5"	"PF00171,PF00245,PF07859,PF00266,PF00501,PF00884,PF01513,PF08241,PF04828"
"GO:0019296"	44	105	5	3.06	0.0026	0.046	"coenzyme M metabolic process"	"biological_process"	" 3"	"PF06087,PF01035,PF09302,PF04493,PF05496"
"GO:0019295"	44	105	5	3.06	0.0026	0.046	"coenzyme M biosynthetic process"	"biological_process"	" 4"	"PF06087,PF01035,PF09302,PF04493,PF05496"
"GO:0009966"	54	105	5	2.52	0.0073	0.11	"regulation of signal transduction"	"biological_process"	" 4"	"PF04882,PF08657,PF04130,PF11744,PF10392"
"GO:0051716"	260	105	15	2.4	0.0085	0.11	"cellular response to stimulus"	"biological_process"	" 2"	"PF00171,PF00245,PF02550,PF07859,PF00266,PF06333,PF08675,PF00501,PF13971,PF09497,PF00884,PF01513,PF08241,PF04828,PF05496"
"GO:0010646"	56	105	5	2.43	0.0087	0.11	"regulation of cell communication"	"biological_process"	" 4"	"PF04882,PF08657,PF04130,PF11744,PF10392"
"GO:0006835"	27	105	3	2.32	0.01	0.12	"dicarboxylic acid transport"	"biological_process"	" 9"	"PF00155,PF01467,PF00975"
"GO:0023051"	59	105	5	2.29	0.011	0.12	"regulation of signaling"	"biological_process"	" 3"	"PF04882,PF08657,PF04130,PF11744,PF10392"
"GO:0033014"	29	105	3	2.17	0.013	0.12	"tetrapyrrole biosynthetic process"	"biological_process"	" 5"	"PF00348,PF07964,PF15469"
"GO:0043623"	29	105	3	2.17	0.013	0.12	"cellular protein complex assembly"	"biological_process"	" 6"	"PF04882,PF01135,PF03542"
"GO:0015849"	62	105	5	2.17	0.014	0.12	"organic acid transport"	"biological_process"	" 5"	"PF00155,PF00344,PF10186,PF01467,PF00975"
"GO:0046942"	62	105	5	2.17	0.014	0.12	"carboxylic acid transport"	"biological_process"	" 6"	"PF00155,PF00344,PF10186,PF01467,PF00975"
