"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0006298"	62	315	27	9.08	2.4e-13	6.4e-11	"mismatch repair"	"biological_process"	" 8"	"PF00171,PF04909,PF07859,PF00201,PF00266,PF00289,PF00389,PF00378,PF02771,PF02803,PF01063,PF01083,PF01144,PF00501,PF00701,PF00857,PF00884,PF00871,PF00920,PF01546,PF01553,PF01557,PF08241,PF01842,PF04828,PF00106,PF00108"
"GO:0045333"	364	315	73	7.06	4.4e-11	5.9e-09	"cellular respiration"	"biological_process"	" 5"	"PF13640,PF00171,PF00174,PF00175,PF04904,PF02558,PF02627,PF08546,PF08501,PF07992,PF02668,PF07955,PF02737,PF02738,PF00355,PF00389,PF00441,PF02770,PF02771,PF02826,PF03446,PF00465,PF03435,PF03404,PF00478,PF01073,PF01077,PF01118,PF03460,PF00578,PF01180,PF04106,PF01210,PF01243,PF05995,PF00667,PF01266,PF00724,PF00725,PF07156,PF00743,PF00732,PF03720,PF03721,PF00775,PF10163,PF04444,PF11960,PF00941,PF08022,PF08030,PF08031,PF13241,PF01593,PF00984,PF01565,PF01625,PF01645,PF05199,PF10417,PF08240,PF01799,PF01756,PF01786,PF07714,PF00067,PF00069,PF00080,PF00070,PF00136,PF03060,PF00107,PF07847"
"GO:0015980"	460	315	83	6.51	5.6e-10	5e-08	"energy derivation by oxidation of organic compounds"	"biological_process"	" 4"	"PF13640,PF00171,PF00174,PF00175,PF04904,PF02558,PF02627,PF08546,PF08501,PF05577,PF07992,PF00326,PF02668,PF07955,PF02737,PF02738,PF00355,PF00389,PF00441,PF02770,PF02771,PF02826,PF03446,PF00465,PF03435,PF03404,PF00478,PF01073,PF01077,PF01118,PF03460,PF02902,PF00578,PF01180,PF04106,PF00648,PF01210,PF01243,PF05995,PF00667,PF01266,PF00724,PF00725,PF07156,PF00743,PF00732,PF03720,PF03721,PF00775,PF01432,PF10163,PF04444,PF11960,PF00941,PF02127,PF08022,PF08030,PF08031,PF13241,PF01593,PF02190,PF00984,PF01565,PF01625,PF01645,PF05197,PF05199,PF10417,PF08240,PF01799,PF00026,PF01756,PF01786,PF07714,PF00067,PF00069,PF00080,PF00082,PF00070,PF00136,PF03060,PF00107,PF07847"
"GO:0006091"	471	315	84	6.43	8.1e-10	5.4e-08	"generation of precursor metabolites and energy"	"biological_process"	" 3"	"PF13640,PF00171,PF00174,PF00175,PF04904,PF02558,PF02627,PF08546,PF08501,PF05577,PF07992,PF00326,PF02668,PF07955,PF02737,PF02738,PF00355,PF00389,PF00441,PF02770,PF02771,PF02826,PF03446,PF00465,PF03435,PF03404,PF00478,PF01073,PF01077,PF01118,PF03460,PF02902,PF00578,PF01180,PF04106,PF00648,PF01210,PF01243,PF05995,PF00667,PF01266,PF00724,PF00725,PF07156,PF00743,PF00732,PF03720,PF03721,PF00775,PF01412,PF01432,PF10163,PF04444,PF11960,PF00941,PF02127,PF08022,PF08030,PF08031,PF13241,PF01593,PF02190,PF00984,PF01565,PF01625,PF01645,PF05197,PF05199,PF10417,PF08240,PF01799,PF00026,PF01756,PF01786,PF07714,PF00067,PF00069,PF00080,PF00082,PF00070,PF00136,PF03060,PF00107,PF07847"
"GO:0055114"	476	315	84	6.32	1.4e-09	7.6e-08	"oxidation-reduction process"	"biological_process"	" 3"	"PF13640,PF00171,PF00174,PF00175,PF04904,PF02558,PF02627,PF08546,PF08501,PF05577,PF07992,PF00326,PF02668,PF07955,PF02737,PF02738,PF00355,PF00389,PF00441,PF02770,PF02771,PF02826,PF03446,PF00465,PF03435,PF03404,PF00478,PF01073,PF01077,PF01118,PF03460,PF02902,PF00578,PF01180,PF04106,PF00648,PF01210,PF01243,PF05995,PF00667,PF01266,PF00724,PF00725,PF07156,PF00743,PF00732,PF03720,PF03721,PF00775,PF01412,PF01432,PF10163,PF04444,PF11960,PF00941,PF02127,PF08022,PF08030,PF08031,PF13241,PF01593,PF02190,PF00984,PF01565,PF01625,PF01645,PF05197,PF05199,PF10417,PF08240,PF01799,PF00026,PF01756,PF01786,PF07714,PF00067,PF00069,PF00080,PF00082,PF00070,PF00136,PF03060,PF00107,PF07847"
"GO:0006281"	88	315	27	6.73	4.7e-09	2.1e-07	"DNA repair"	"biological_process"	" 6"	"PF00171,PF04909,PF07859,PF00201,PF00266,PF00289,PF00389,PF00378,PF02771,PF02803,PF01063,PF01083,PF01144,PF00501,PF00701,PF00857,PF00884,PF00871,PF00920,PF01546,PF01553,PF01557,PF08241,PF01842,PF04828,PF00106,PF00108"
"GO:0006974"	92	315	27	6.45	1.4e-08	5.5e-07	"response to DNA damage stimulus"	"biological_process"	" 5"	"PF00171,PF04909,PF07859,PF00201,PF00266,PF00289,PF00389,PF00378,PF02771,PF02803,PF01063,PF01083,PF01144,PF00501,PF00701,PF00857,PF00884,PF00871,PF00920,PF01546,PF01553,PF01557,PF08241,PF01842,PF04828,PF00106,PF00108"
"GO:0072527"	119	315	28	5.18	1.6e-06	5.3e-05	"pyrimidine-containing compound metabolic process"	"biological_process"	" 4"	"PF00150,PF00295,PF00349,PF00331,PF00332,PF00370,PF02782,PF00488,PF01055,PF01119,PF01263,PF00722,PF00728,PF00734,PF00704,PF03727,PF01380,PF15454,PF02065,PF01522,PF00933,PF05190,PF05192,PF05188,PF03033,PF00128,PF01915,PF13580"
"GO:0042357"	84	315	22	5.16	2.4e-06	6.4e-05	"thiamine diphosphate metabolic process"	"biological_process"	" 4"	"PF00150,PF00295,PF00349,PF00331,PF00332,PF00370,PF02782,PF01055,PF01263,PF00722,PF00728,PF00734,PF00704,PF03727,PF01380,PF02065,PF01522,PF00933,PF03033,PF00128,PF01915,PF13580"
"GO:0009229"	84	315	22	5.16	2.4e-06	6.4e-05	"thiamine diphosphate biosynthetic process"	"biological_process"	" 5"	"PF00150,PF00295,PF00349,PF00331,PF00332,PF00370,PF02782,PF01055,PF01263,PF00722,PF00728,PF00734,PF00704,PF03727,PF01380,PF02065,PF01522,PF00933,PF03033,PF00128,PF01915,PF13580"
"GO:0033554"	145	315	31	4.85	4.6e-06	0.00011	"cellular response to stress"	"biological_process"	" 3"	"PF00171,PF04909,PF07859,PF00201,PF00266,PF00289,PF00389,PF00378,PF02771,PF02803,PF01063,PF01083,PF01144,PF00501,PF00701,PF15454,PF00857,PF00884,PF00871,PF00920,PF01546,PF01553,PF01557,PF01612,PF08241,PF01842,PF04828,PF00106,PF00108,PF07819,PF03127"
"GO:0044237"	1749	315	206	4.28	5.8e-06	0.00013	"cellular metabolic process"	"biological_process"	" 2"	"PF00160,PF00164,PF13640,PF00150,PF00189,PF00170,PF00171,PF00172,PF00174,PF00175,PF06087,PF00233,PF04904,PF04909,PF07859,PF02558,PF00201,PF03152,PF07926,PF02627,PF08477,PF03222,PF00295,PF08545,PF08546,PF00266,PF00289,PF08501,PF03200,PF05577,PF07992,PF07994,PF00320,PF00326,PF00348,PF00349,PF00331,PF00332,PF02666,PF02668,PF07955,PF05690,PF02737,PF02738,PF00360,PF05653,PF00355,PF00389,PF00370,PF00378,PF00441,PF02765,PF01019,PF02782,PF01035,PF02770,PF02771,PF00403,PF02826,PF13851,PF03441,PF03446,PF01095,PF00465,PF03435,PF02803,PF00459,PF01063,PF00488,PF03404,PF00478,PF01055,PF01083,PF06371,PF00512,PF09302,PF01073,PF01077,PF05834,PF01118,PF01119,PF01144,PF03460,PF02872,PF00501,PF02877,PF02902,PF00578,PF00620,PF00621,PF01180,PF00615,PF00616,PF00617,PF00618,PF04106,PF00648,PF01210,PF01212,PF01243,PF05995,PF00667,PF11799,PF01263,PF01266,PF01253,PF00722,PF00724,PF00725,PF01283,PF00728,PF00710,PF01274,PF07156,PF00743,PF00732,PF00734,PF00701,PF00704,PF07247,PF03720,PF03721,PF03727,PF00752,PF00775,PF01380,PF00817,PF01412,PF01442,PF01432,PF10163,PF15454,PF00857,PF04444,PF00884,PF00871,PF11960,PF00920,PF02065,PF00916,PF00941,PF01522,PF00933,PF01544,PF01546,PF02127,PF08022,PF08030,PF08031,PF13241,PF01593,PF02190,PF00984,PF01565,PF00989,PF01553,PF01557,PF01625,PF01612,PF01645,PF05190,PF05192,PF05197,PF05199,PF04568,PF12740,PF03972,PF02200,PF05188,PF04636,PF10417,PF02311,PF01735,PF08240,PF08241,PF13426,PF01799,PF02390,PF00026,PF01756,PF01786,PF01842,PF07714,PF07716,PF13520,PF03033,PF00067,PF00069,PF04828,PF00080,PF00082,PF00070,PF00071,PF00128,PF00136,PF03060,PF01915,PF05401,PF00106,PF00107,PF00108,PF13580,PF07847,PF02535,PF08446,PF03145"
"GO:0008152"	1883	315	217	4.08	1.3e-05	0.00027	"metabolic process"	"biological_process"	" 1"	"PF00160,PF00164,PF13640,PF00150,PF00189,PF00170,PF00171,PF00172,PF00174,PF00175,PF06087,PF00233,PF04904,PF04909,PF07859,PF02558,PF00201,PF03152,PF07926,PF02627,PF08477,PF03222,PF00295,PF08545,PF08546,PF00266,PF00289,PF08501,PF03200,PF05577,PF07992,PF07994,PF00320,PF00326,PF00348,PF00349,PF00331,PF00332,PF02666,PF02668,PF07955,PF05690,PF02737,PF02738,PF00360,PF05653,PF00355,PF00389,PF08603,PF00370,PF00378,PF00441,PF02765,PF01019,PF02782,PF01035,PF02770,PF02771,PF00403,PF02826,PF13851,PF03441,PF03446,PF01095,PF00462,PF00465,PF03435,PF02803,PF00459,PF01063,PF00488,PF03404,PF00478,PF01055,PF01083,PF06371,PF00512,PF09302,PF01073,PF01077,PF05834,PF01118,PF01119,PF01144,PF03460,PF02872,PF00501,PF02877,PF02902,PF00578,PF00620,PF00621,PF01180,PF00615,PF00616,PF00617,PF00618,PF04106,PF00648,PF01210,PF01212,PF01243,PF04199,PF05995,PF00667,PF11799,PF01263,PF01266,PF01253,PF00722,PF00724,PF00725,PF01283,PF00728,PF00710,PF01274,PF00719,PF07156,PF00743,PF00732,PF00734,PF00701,PF00704,PF07247,PF03720,PF03721,PF03727,PF00752,PF00775,PF01380,PF00817,PF00849,PF01412,PF01442,PF01432,PF10163,PF15454,PF00857,PF04444,PF00884,PF01465,PF00871,PF11960,PF00920,PF02065,PF00916,PF00941,PF01522,PF00933,PF01544,PF01546,PF02127,PF06831,PF08022,PF08030,PF08031,PF13241,PF10262,PF01593,PF02190,PF00984,PF01565,PF00989,PF01553,PF01557,PF01625,PF01612,PF01645,PF05190,PF05192,PF05197,PF05199,PF04568,PF12740,PF03972,PF02200,PF05188,PF04636,PF10417,PF02311,PF01735,PF08240,PF08241,PF13426,PF01799,PF02390,PF00026,PF01756,PF01786,PF02353,PF01842,PF02421,PF07714,PF07716,PF13520,PF03033,PF00067,PF00069,PF04828,PF00080,PF00082,PF00085,PF00070,PF00071,PF00128,PF00136,PF03060,PF01915,PF05401,PF00106,PF00107,PF00108,PF13580,PF07847,PF02535,PF08446,PF03145"
"GO:0044272"	148	315	30	4.44	2e-05	0.00039	"sulfur compound biosynthetic process"	"biological_process"	" 4"	"PF00150,PF06087,PF00295,PF00349,PF00331,PF00332,PF00370,PF02782,PF01035,PF03441,PF01055,PF09302,PF11799,PF01263,PF00722,PF00728,PF00734,PF00704,PF03727,PF00752,PF01380,PF00817,PF15454,PF02065,PF01522,PF00933,PF03033,PF00128,PF01915,PF13580"
"GO:0072528"	106	315	23	4.23	4.9e-05	0.00087	"pyrimidine-containing compound biosynthetic process"	"biological_process"	" 5"	"PF00150,PF00295,PF00349,PF00331,PF00332,PF00370,PF02782,PF01055,PF01263,PF00722,PF00728,PF00734,PF00704,PF03727,PF01380,PF15454,PF02065,PF01522,PF00933,PF03033,PF00128,PF01915,PF13580"
"GO:0006790"	156	315	30	4.11	6e-05	0.001	"sulfur compound metabolic process"	"biological_process"	" 3"	"PF00150,PF06087,PF00295,PF00349,PF00331,PF00332,PF00370,PF02782,PF01035,PF03441,PF01055,PF09302,PF11799,PF01263,PF00722,PF00728,PF00734,PF00704,PF03727,PF00752,PF01380,PF00817,PF15454,PF02065,PF01522,PF00933,PF03033,PF00128,PF01915,PF13580"
