"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0031532"	10	971	10	4.84	0	0	"actin cytoskeleton reorganization"	"biological_process"	" 6"	"PF00152,PF13603,PF00458,PF09334,PF00587,PF00579,PF03950,PF04558,PF08264,PF00133"
"GO:0046939"	10	971	10	4.84	0	0	"nucleotide phosphorylation"	"biological_process"	" 6"	"PF03152,PF00443,PF01088,PF00888,PF01466,PF03931,PF10408,PF10557,PF10584,PF03145"
"GO:0000012"	10	971	10	4.84	0	0	"single strand break repair"	"biological_process"	" 8"	"PF04987,PF06423,PF06432,PF04188,PF06699,PF06728,PF05024,PF05007,PF08288,PF08320"
"GO:0006165"	10	971	10	4.84	0	0	"nucleoside diphosphate phosphorylation"	"biological_process"	" 8"	"PF03152,PF00443,PF01088,PF00888,PF01466,PF03931,PF10408,PF10557,PF10584,PF03145"
"GO:0009252"	90	971	80	12.4	1.3e-33	1.5e-31	"peptidoglycan biosynthetic process"	"biological_process"	" 6"	"PF00164,PF00181,PF00189,PF00237,PF00238,PF00203,PF00297,PF00298,PF00252,PF00253,PF00281,PF00276,PF00312,PF00318,PF00347,PF00333,PF00366,PF09243,PF00380,PF00410,PF00411,PF00416,PF01020,PF01015,PF01016,PF01090,PF01092,PF00468,PF00471,PF01084,PF00542,PF01196,PF01197,PF01198,PF01199,PF01165,PF00572,PF00573,PF01157,PF01158,PF01159,PF01245,PF01247,PF01249,PF01200,PF01294,PF00673,PF01250,PF01251,PF01280,PF01282,PF01283,PF03719,PF00827,PF00830,PF00831,PF00832,PF00833,PF00886,PF05046,PF00935,PF03868,PF03947,PF01599,PF08069,PF01632,PF05162,PF01667,PF01655,PF06984,PF01780,PF01781,PF01783,PF01775,PF01776,PF01777,PF01779,PF04758,PF01929,PF01907"
"GO:0009273"	91	971	80	12.2	8.6e-33	7e-31	"peptidoglycan-based cell wall biogenesis"	"biological_process"	" 5"	"PF00164,PF00181,PF00189,PF00237,PF00238,PF00203,PF00297,PF00298,PF00252,PF00253,PF00281,PF00276,PF00312,PF00318,PF00347,PF00333,PF00366,PF09243,PF00380,PF00410,PF00411,PF00416,PF01020,PF01015,PF01016,PF01090,PF01092,PF00468,PF00471,PF01084,PF00542,PF01196,PF01197,PF01198,PF01199,PF01165,PF00572,PF00573,PF01157,PF01158,PF01159,PF01245,PF01247,PF01249,PF01200,PF01294,PF00673,PF01250,PF01251,PF01280,PF01282,PF01283,PF03719,PF00827,PF00830,PF00831,PF00832,PF00833,PF00886,PF05046,PF00935,PF03868,PF03947,PF01599,PF08069,PF01632,PF05162,PF01667,PF01655,PF06984,PF01780,PF01781,PF01783,PF01775,PF01776,PF01777,PF01779,PF04758,PF01929,PF01907"
"GO:0006024"	91	971	80	12.2	8.6e-33	7e-31	"glycosaminoglycan biosynthetic process"	"biological_process"	" 6"	"PF00164,PF00181,PF00189,PF00237,PF00238,PF00203,PF00297,PF00298,PF00252,PF00253,PF00281,PF00276,PF00312,PF00318,PF00347,PF00333,PF00366,PF09243,PF00380,PF00410,PF00411,PF00416,PF01020,PF01015,PF01016,PF01090,PF01092,PF00468,PF00471,PF01084,PF00542,PF01196,PF01197,PF01198,PF01199,PF01165,PF00572,PF00573,PF01157,PF01158,PF01159,PF01245,PF01247,PF01249,PF01200,PF01294,PF00673,PF01250,PF01251,PF01280,PF01282,PF01283,PF03719,PF00827,PF00830,PF00831,PF00832,PF00833,PF00886,PF05046,PF00935,PF03868,PF03947,PF01599,PF08069,PF01632,PF05162,PF01667,PF01655,PF06984,PF01780,PF01781,PF01783,PF01775,PF01776,PF01777,PF01779,PF04758,PF01929,PF01907"
"GO:0000270"	93	971	81	12.2	1.7e-32	1.2e-30	"peptidoglycan metabolic process"	"biological_process"	" 6"	"PF00164,PF00181,PF00189,PF00237,PF00238,PF00203,PF00297,PF00298,PF00252,PF00253,PF00281,PF00276,PF00312,PF00318,PF00347,PF00333,PF00366,PF09243,PF00380,PF00410,PF00411,PF00416,PF01020,PF01015,PF01016,PF01090,PF01092,PF00468,PF00471,PF01084,PF00542,PF01196,PF01197,PF01198,PF01199,PF01165,PF00572,PF00573,PF01157,PF01158,PF01159,PF01245,PF01247,PF01249,PF01200,PF01294,PF00673,PF01250,PF01251,PF01280,PF01282,PF01283,PF06644,PF03719,PF00827,PF00830,PF00831,PF00832,PF00833,PF00886,PF05046,PF00935,PF03868,PF03947,PF01599,PF08069,PF01632,PF05162,PF01667,PF01655,PF06984,PF01780,PF01781,PF01783,PF01775,PF01776,PF01777,PF01779,PF04758,PF01929,PF01907"
"GO:0006023"	92	971	80	12.1	5.2e-32	3.3e-30	"aminoglycan biosynthetic process"	"biological_process"	" 3"	"PF00164,PF00181,PF00189,PF00237,PF00238,PF00203,PF00297,PF00298,PF00252,PF00253,PF00281,PF00276,PF00312,PF00318,PF00347,PF00333,PF00366,PF09243,PF00380,PF00410,PF00411,PF00416,PF01020,PF01015,PF01016,PF01090,PF01092,PF00468,PF00471,PF01084,PF00542,PF01196,PF01197,PF01198,PF01199,PF01165,PF00572,PF00573,PF01157,PF01158,PF01159,PF01245,PF01247,PF01249,PF01200,PF01294,PF00673,PF01250,PF01251,PF01280,PF01282,PF01283,PF03719,PF00827,PF00830,PF00831,PF00832,PF00833,PF00886,PF05046,PF00935,PF03868,PF03947,PF01599,PF08069,PF01632,PF05162,PF01667,PF01655,PF06984,PF01780,PF01781,PF01783,PF01775,PF01776,PF01777,PF01779,PF04758,PF01929,PF01907"
"GO:0070589"	95	971	81	11.9	5e-31	2.5e-29	"cellular component macromolecule biosynthetic process"	"biological_process"	" 3"	"PF00164,PF00181,PF00189,PF00237,PF00238,PF00203,PF00297,PF00298,PF00252,PF00253,PF00281,PF00276,PF00312,PF00318,PF00347,PF00333,PF00366,PF09243,PF00380,PF00410,PF00411,PF00416,PF01020,PF01015,PF01016,PF01090,PF01092,PF00468,PF00471,PF01084,PF00542,PF01196,PF01197,PF01198,PF01199,PF01165,PF00572,PF00573,PF01157,PF01158,PF01159,PF01245,PF01247,PF01249,PF01200,PF01294,PF00673,PF01250,PF01251,PF01280,PF01282,PF01283,PF03719,PF00827,PF00830,PF00831,PF00832,PF00833,PF00886,PF05046,PF00935,PF03868,PF03947,PF01599,PF08069,PF01632,PF05162,PF01667,PF01655,PF06984,PF01780,PF01781,PF01783,PF01775,PF01776,PF01777,PF01779,PF04758,PF01929,PF05401,PF01907"
