"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0006298"	62	250	28	11.2	4.7e-17	1e-14	"mismatch repair"	"biological_process"	" 8"	"PF00171,PF00245,PF04909,PF07859,PF00201,PF00264,PF00289,PF00389,PF00378,PF02780,PF02771,PF02817,PF02803,PF01063,PF02894,PF00501,PF00614,PF00676,PF00797,PF00857,PF00884,PF01546,PF01557,PF08241,PF04828,PF00106,PF00108,PF00198"
"GO:0006281"	88	250	28	8.59	2.9e-12	3e-10	"DNA repair"	"biological_process"	" 6"	"PF00171,PF00245,PF04909,PF07859,PF00201,PF00264,PF00289,PF00389,PF00378,PF02780,PF02771,PF02817,PF02803,PF01063,PF02894,PF00501,PF00614,PF00676,PF00797,PF00857,PF00884,PF01546,PF01557,PF08241,PF04828,PF00106,PF00108,PF00198"
"GO:0006974"	92	250	28	8.29	1e-11	7.2e-10	"response to DNA damage stimulus"	"biological_process"	" 5"	"PF00171,PF00245,PF04909,PF07859,PF00201,PF00264,PF00289,PF00389,PF00378,PF02780,PF02771,PF02817,PF02803,PF01063,PF02894,PF00501,PF00614,PF00676,PF00797,PF00857,PF00884,PF01546,PF01557,PF08241,PF04828,PF00106,PF00108,PF00198"
"GO:0045333"	364	250	60	6.65	6.3e-10	3.3e-08	"cellular respiration"	"biological_process"	" 5"	"PF13640,PF00180,PF00171,PF00174,PF07992,PF02668,PF00393,PF00394,PF02737,PF00361,PF00368,PF00351,PF00389,PF00420,PF00441,PF02770,PF02771,PF02826,PF02816,PF00493,PF00499,PF03446,PF03435,PF03404,PF02894,PF01073,PF01126,PF02866,PF01118,PF00507,PF04116,PF04140,PF00578,PF01232,PF01266,PF00725,PF04209,PF00743,PF00732,PF00775,PF04444,PF08022,PF08030,PF01593,PF01613,PF08125,PF05199,PF05153,PF08240,PF07714,PF07731,PF00067,PF00069,PF00056,PF00070,PF00115,PF00141,PF00146,PF00107,PF04858"
"GO:0055114"	476	250	71	6.38	1.5e-09	6.2e-08	"oxidation-reduction process"	"biological_process"	" 3"	"PF13640,PF00180,PF00171,PF00174,PF07992,PF00326,PF05649,PF05631,PF02668,PF00393,PF00394,PF02737,PF00361,PF00368,PF00351,PF00389,PF00420,PF00441,PF02770,PF02771,PF02826,PF02816,PF00493,PF00499,PF03446,PF03435,PF00450,PF03404,PF02894,PF01073,PF01126,PF02866,PF01118,PF01132,PF00507,PF04116,PF04140,PF00578,PF00648,PF01232,PF03572,PF01266,PF00725,PF04209,PF00743,PF00732,PF00775,PF01431,PF04444,PF00883,PF08022,PF08030,PF01593,PF02163,PF01613,PF08125,PF05199,PF05153,PF08240,PF07714,PF07731,PF00067,PF00069,PF00056,PF00082,PF00070,PF00115,PF00141,PF00146,PF00107,PF04858"
"GO:0015980"	460	250	69	6.32	2.1e-09	6.2e-08	"energy derivation by oxidation of organic compounds"	"biological_process"	" 4"	"PF13640,PF00180,PF00171,PF00174,PF07992,PF00326,PF05649,PF02668,PF00393,PF00394,PF02737,PF00361,PF00368,PF00351,PF00389,PF00420,PF00441,PF02770,PF02771,PF02826,PF02816,PF00493,PF00499,PF03446,PF03435,PF00450,PF03404,PF02894,PF01073,PF01126,PF02866,PF01118,PF00507,PF04116,PF04140,PF00578,PF00648,PF01232,PF03572,PF01266,PF00725,PF04209,PF00743,PF00732,PF00775,PF01431,PF04444,PF00883,PF08022,PF08030,PF01593,PF02163,PF01613,PF08125,PF05199,PF05153,PF08240,PF07714,PF07731,PF00067,PF00069,PF00056,PF00082,PF00070,PF00115,PF00141,PF00146,PF00107,PF04858"
"GO:0044237"	1749	250	178	5.69	2.2e-09	6.2e-08	"cellular metabolic process"	"biological_process"	" 2"	"PF03131,PF13640,PF02502,PF00150,PF00180,PF00170,PF00171,PF00172,PF00174,PF00225,PF00245,PF00232,PF00233,PF04909,PF07859,PF00201,PF08477,PF00295,PF00262,PF00264,PF00289,PF07992,PF00326,PF09103,PF05649,PF05631,PF00332,PF02668,PF00393,PF00394,PF00398,PF02737,PF00361,PF00368,PF05653,PF00351,PF02705,PF00389,PF00378,PF00420,PF00441,PF00443,PF09298,PF01048,PF02780,PF02770,PF02771,PF00403,PF02826,PF08676,PF02816,PF02817,PF00493,PF09285,PF00499,PF02836,PF03446,PF03435,PF02803,PF00450,PF01063,PF01068,PF03404,PF01055,PF00520,PF02894,PF00512,PF01073,PF01078,PF01126,PF02866,PF00538,PF01116,PF01118,PF01119,PF01132,PF00501,PF00507,PF09363,PF09421,PF04116,PF04140,PF00588,PF00578,PF14631,PF00620,PF00621,PF01182,PF00614,PF00615,PF04101,PF00616,PF00617,PF00618,PF00648,PF01232,PF01239,PF03552,PF03572,PF01263,PF01266,PF05970,PF00676,PF00722,PF00725,PF04209,PF00743,PF00732,PF00734,PF06632,PF00703,PF00704,PF01301,PF00797,PF00759,PF00775,PF01431,PF01498,PF00864,PF00857,PF04444,PF00883,PF00884,PF00888,PF00916,PF03894,PF01522,PF00933,PF01546,PF08022,PF02145,PF08030,PF05063,PF01593,PF00961,PF01557,PF02163,PF02187,PF01613,PF08125,PF05199,PF05153,PF06963,PF05241,PF08163,PF01717,PF05206,PF05292,PF08240,PF08241,PF13426,PF04675,PF00033,PF05301,PF07714,PF07716,PF07731,PF13520,PF03033,PF00067,PF00069,PF00056,PF04828,PF00082,PF10557,PF00070,PF00071,PF00115,PF00141,PF00146,PF01920,PF05401,PF00106,PF00107,PF00108,PF05496,PF00198,PF04858"
"GO:0006091"	471	250	70	6.29	2.4e-09	6.2e-08	"generation of precursor metabolites and energy"	"biological_process"	" 3"	"PF13640,PF00180,PF00171,PF00174,PF07992,PF00326,PF05649,PF02668,PF00393,PF00394,PF02737,PF00361,PF00368,PF00351,PF00389,PF00420,PF00441,PF02770,PF02771,PF02826,PF02816,PF00493,PF00499,PF03446,PF03435,PF00450,PF03404,PF02894,PF01073,PF01126,PF02866,PF01118,PF01132,PF00507,PF04116,PF04140,PF00578,PF00648,PF01232,PF03572,PF01266,PF00725,PF04209,PF00743,PF00732,PF00775,PF01431,PF04444,PF00883,PF08022,PF08030,PF01593,PF02163,PF01613,PF08125,PF05199,PF05153,PF08240,PF07714,PF07731,PF00067,PF00069,PF00056,PF00082,PF00070,PF00115,PF00141,PF00146,PF00107,PF04858"
"GO:0042357"	84	250	22	6.43	3.4e-08	7.1e-07	"thiamine diphosphate metabolic process"	"biological_process"	" 4"	"PF02502,PF00150,PF00232,PF00295,PF00332,PF02836,PF01055,PF01116,PF09363,PF01182,PF04101,PF01263,PF00722,PF00734,PF00703,PF00704,PF01301,PF00759,PF03894,PF01522,PF00933,PF03033"
"GO:0009229"	84	250	22	6.43	3.4e-08	7.1e-07	"thiamine diphosphate biosynthetic process"	"biological_process"	" 5"	"PF02502,PF00150,PF00232,PF00295,PF00332,PF02836,PF01055,PF01116,PF09363,PF01182,PF04101,PF01263,PF00722,PF00734,PF00703,PF00704,PF01301,PF00759,PF03894,PF01522,PF00933,PF03033"
