"term_id"	"nAnno"	"nGroup"	"nOverlap"	"zscore"	"pvalue"	"adjp"	"term_name"	"term_namespace"	"term_distance"	"members"
"GO:0045333"	364	326	81	8.21	4.8e-14	1.5e-11	"cellular respiration"	"biological_process"	" 5"	"PF00180,PF00171,PF00175,PF02558,PF02580,PF00208,PF03171,PF00296,PF08546,PF07991,PF07992,PF02668,PF02727,PF02728,PF00390,PF00394,PF00355,PF00389,PF00441,PF00433,PF02770,PF02771,PF02774,PF02826,PF02812,PF03446,PF03447,PF00465,PF03435,PF04030,PF00478,PF02894,PF01073,PF01077,PF01118,PF02852,PF02882,PF03460,PF04116,PF00578,PF04108,PF01179,PF01210,PF09494,PF01243,PF00667,PF01266,PF00724,PF00742,PF00743,PF00763,PF00815,PF01493,PF01450,PF08022,PF08030,PF13241,PF01593,PF03949,PF01565,PF01558,PF02153,PF01625,PF07479,PF01645,PF02219,PF05187,PF08240,PF07714,PF07731,PF00067,PF00069,PF00080,PF00070,PF01855,PF00136,PF08354,PF00107,PF04898,PF03079,PF00199"
"GO:0006091"	471	326	91	7.23	8.4e-12	1.3e-09	"generation of precursor metabolites and energy"	"biological_process"	" 3"	"PF00180,PF00171,PF00175,PF00246,PF02558,PF02580,PF00208,PF03171,PF00296,PF08546,PF07991,PF07992,PF00326,PF02668,PF02727,PF02728,PF00390,PF00394,PF00355,PF00389,PF00441,PF00433,PF02789,PF02770,PF02771,PF02774,PF02826,PF02812,PF03446,PF03447,PF00465,PF03435,PF00450,PF04030,PF00478,PF02894,PF01073,PF01077,PF01118,PF02852,PF02882,PF03460,PF04116,PF02902,PF00578,PF04108,PF01179,PF01210,PF09494,PF01243,PF01244,PF00667,PF01266,PF00724,PF00742,PF00743,PF00763,PF00815,PF01412,PF01493,PF00883,PF00889,PF01450,PF08022,PF08030,PF13241,PF01593,PF03949,PF02190,PF01565,PF01558,PF02153,PF01625,PF07479,PF01645,PF02219,PF05187,PF08240,PF07714,PF07731,PF00067,PF00069,PF00080,PF00070,PF01855,PF00136,PF08354,PF00107,PF04898,PF03079,PF00199"
"GO:0015980"	460	326	89	7.15	1.4e-11	1.3e-09	"energy derivation by oxidation of organic compounds"	"biological_process"	" 4"	"PF00180,PF00171,PF00175,PF00246,PF02558,PF02580,PF00208,PF03171,PF00296,PF08546,PF07991,PF07992,PF00326,PF02668,PF02727,PF02728,PF00390,PF00394,PF00355,PF00389,PF00441,PF00433,PF02789,PF02770,PF02771,PF02774,PF02826,PF02812,PF03446,PF03447,PF00465,PF03435,PF00450,PF04030,PF00478,PF02894,PF01073,PF01077,PF01118,PF02852,PF02882,PF03460,PF04116,PF02902,PF00578,PF04108,PF01179,PF01210,PF09494,PF01243,PF01244,PF00667,PF01266,PF00724,PF00742,PF00743,PF00763,PF00815,PF01493,PF00883,PF01450,PF08022,PF08030,PF13241,PF01593,PF03949,PF02190,PF01565,PF01558,PF02153,PF01625,PF07479,PF01645,PF02219,PF05187,PF08240,PF07714,PF07731,PF00067,PF00069,PF00080,PF00070,PF01855,PF00136,PF08354,PF00107,PF04898,PF03079,PF00199"
"GO:0055114"	476	326	91	7.11	1.6e-11	1.3e-09	"oxidation-reduction process"	"biological_process"	" 3"	"PF00180,PF00171,PF00175,PF00246,PF02558,PF02580,PF00208,PF03171,PF00296,PF08546,PF07991,PF07992,PF00326,PF02668,PF02727,PF02728,PF00390,PF00394,PF00355,PF00389,PF00441,PF00433,PF02789,PF02770,PF02771,PF02774,PF02826,PF02812,PF03446,PF03447,PF00465,PF03435,PF00450,PF04030,PF00478,PF02894,PF01073,PF01077,PF01118,PF02852,PF02882,PF03460,PF04116,PF02902,PF00578,PF04108,PF01179,PF01210,PF09494,PF01243,PF01244,PF00667,PF01266,PF00724,PF00742,PF00743,PF00763,PF00815,PF01412,PF01493,PF00883,PF00889,PF01450,PF08022,PF08030,PF13241,PF01593,PF03949,PF02190,PF01565,PF01558,PF02153,PF01625,PF07479,PF01645,PF02219,PF05187,PF08240,PF07714,PF07731,PF00067,PF00069,PF00080,PF00070,PF01855,PF00136,PF08354,PF00107,PF04898,PF03079,PF00199"
"GO:0006298"	62	326	23	7.15	1.4e-09	9e-08	"mismatch repair"	"biological_process"	" 8"	"PF00171,PF07859,PF00266,PF00310,PF00330,PF00389,PF00378,PF02771,PF00485,PF02894,PF00501,PF00590,PF00591,PF00694,PF01493,PF00857,PF00920,PF01546,PF01507,PF08241,PF01842,PF13537,PF00106"
"GO:0044237"	1749	326	218	4.93	2.3e-07	1.2e-05	"cellular metabolic process"	"biological_process"	" 2"	"PF03131,PF00150,PF00156,PF00180,PF00185,PF00170,PF00171,PF00172,PF00175,PF00225,PF00211,PF00246,PF02569,PF07859,PF02558,PF02580,PF02581,PF00208,PF03171,PF08477,PF00290,PF00296,PF08546,PF00266,PF08509,PF07991,PF07992,PF00320,PF00326,PF00310,PF00316,PF00349,PF00330,PF02666,PF02668,PF02727,PF02728,PF02729,PF08622,PF00390,PF00394,PF00398,PF05653,PF00355,PF00389,PF00370,PF00378,PF00441,PF00443,PF00447,PF00448,PF00433,PF01019,PF01048,PF02782,PF02789,PF02770,PF02771,PF02774,PF00403,PF00408,PF09260,PF02826,PF13851,PF02812,PF03446,PF03447,PF00465,PF03435,PF00450,PF04030,PF00485,PF00488,PF01066,PF01068,PF00478,PF01055,PF00520,PF02894,PF01088,PF06371,PF00512,PF01073,PF01074,PF01077,PF01118,PF02852,PF02880,PF02882,PF03460,PF01134,PF00501,PF02878,PF02879,PF09363,PF00590,PF00591,PF03522,PF04110,PF04116,PF02902,PF14622,PF00578,PF01157,PF00620,PF00621,PF01174,PF04108,PF01179,PF01210,PF00636,PF01212,PF09494,PF01243,PF01244,PF00694,PF00697,PF00667,PF05958,PF11799,PF01266,PF00672,PF00722,PF00724,PF06574,PF00742,PF00743,PF00704,PF03727,PF00763,PF01369,PF00815,PF00817,PF01422,PF01412,PF01442,PF03820,PF01493,PF07393,PF00857,PF00883,PF00889,PF01450,PF00920,PF00925,PF00916,PF03894,PF01546,PF02110,PF01536,PF00909,PF08022,PF13188,PF01507,PF08030,PF13241,PF01593,PF03949,PF00955,PF02190,PF01565,PF00989,PF01558,PF06881,PF01583,PF02153,PF01624,PF01625,PF03999,PF07479,PF01644,PF01645,PF02224,PF02219,PF05190,PF05192,PF12740,PF10390,PF05187,PF05188,PF01717,PF05206,PF02311,PF08211,PF08240,PF08241,PF13426,PF04675,PF04679,PF07685,PF02384,PF01842,PF07722,PF07714,PF07716,PF05390,PF07731,PF13520,PF10591,PF00067,PF00069,PF13537,PF00080,PF00070,PF00071,PF00128,PF01855,PF00136,PF08354,PF00106,PF00107,PF04898,PF06003,PF03079,PF05496,PF02548,PF00199,PF02535"
"GO:0018143"	13	326	8	6.18	4.7e-07	2.2e-05	"nucleic acid-protein covalent cross-linking"	"biological_process"	" 7"	"PF00185,PF00208,PF02729,PF00403,PF02812,PF01212,PF00742,PF02535"
"GO:0008152"	1883	326	229	4.69	6.9e-07	2.8e-05	"metabolic process"	"biological_process"	" 1"	"PF03131,PF00150,PF00156,PF00180,PF00185,PF00170,PF00171,PF00172,PF00175,PF00225,PF00211,PF00246,PF02569,PF07859,PF02558,PF02580,PF02581,PF00208,PF03171,PF08477,PF00290,PF00296,PF08546,PF00266,PF08509,PF07991,PF07992,PF00320,PF00326,PF00310,PF00316,PF00349,PF00330,PF02666,PF02668,PF02727,PF02728,PF02729,PF08622,PF00390,PF00394,PF00398,PF02733,PF02734,PF05653,PF00355,PF00389,PF00370,PF00378,PF00441,PF00443,PF00447,PF00448,PF00433,PF01019,PF01048,PF02782,PF02789,PF02770,PF02771,PF02774,PF00403,PF00408,PF09260,PF02826,PF13851,PF02812,PF03446,PF03447,PF00465,PF03435,PF00450,PF04030,PF00485,PF00488,PF01066,PF01068,PF00478,PF01055,PF00520,PF02894,PF01088,PF06371,PF00512,PF01073,PF01074,PF01077,PF01118,PF02852,PF02880,PF02882,PF03460,PF01134,PF00501,PF02878,PF02879,PF09363,PF00590,PF00591,PF03522,PF04110,PF04116,PF02902,PF14622,PF04145,PF00578,PF01157,PF00620,PF00621,PF01174,PF04108,PF01179,PF01210,PF00636,PF01212,PF09494,PF01243,PF01244,PF00694,PF00697,PF00667,PF05958,PF11799,PF01266,PF00672,PF00722,PF00723,PF00724,PF06574,PF00742,PF00743,PF01329,PF00704,PF03727,PF00763,PF01369,PF00815,PF00817,PF01422,PF01412,PF01416,PF01442,PF03820,PF01493,PF03835,PF07393,PF00857,PF00883,PF00889,PF01450,PF00920,PF00925,PF00916,PF03894,PF01546,PF02110,PF01536,PF03851,PF00909,PF08022,PF13188,PF01507,PF08030,PF13241,PF01593,PF03949,PF00955,PF02190,PF01565,PF00989,PF01558,PF06881,PF01583,PF02153,PF01624,PF01625,PF03999,PF07479,PF01644,PF01645,PF02224,PF02219,PF05190,PF05192,PF12740,PF10390,PF05187,PF05188,PF01717,PF05206,PF02311,PF08211,PF08240,PF08241,PF13426,PF04675,PF04679,PF02367,PF02353,PF07685,PF02384,PF01842,PF07722,PF02421,PF07714,PF07716,PF05390,PF07731,PF13520,PF10591,PF00067,PF00069,PF13537,PF00080,PF00070,PF00071,PF00128,PF01855,PF00136,PF08354,PF00106,PF00107,PF04898,PF06003,PF03079,PF05496,PF02548,PF00199,PF02535"
"GO:0006281"	88	326	23	5.08	2.9e-06	1e-04	"DNA repair"	"biological_process"	" 6"	"PF00171,PF07859,PF00266,PF00310,PF00330,PF00389,PF00378,PF02771,PF00485,PF02894,PF00501,PF00590,PF00591,PF00694,PF01493,PF00857,PF00920,PF01546,PF01507,PF08241,PF01842,PF13537,PF00106"
"GO:0006357"	19	326	9	5.42	3.7e-06	0.00012	"regulation of transcription from RNA polymerase II promoter"	"biological_process"	" 9"	"PF07991,PF02774,PF04083,PF00657,PF01536,PF01734,PF01764,PF08267,PF02544"
